YEARS,Province,Accommodation_Type,Avg_ADR
2021,Eastern,Apartments & other,161.6649999
2021,Eastern,Hotels,411.1794973
2021,Albaha,Apartments & other,152.4553341
2021,Albaha,Hotels,284.5679421
2021,Jouf,Apartments & other,107.5461883
2021,Jouf,Hotels,226.0383639
2021,Northern Borders,Apartments & other,100.8614282
2021,Northern Borders,Hotels,146.086219
2021,Riyadh,Apartments & other,190.2553026
2021,Riyadh,Hotels,556.2052344
2021,Alqassim,Apartments & other,124.121878
2021,Alqassim,Hotels,340.6458655
2021,Madinah,Apartments & other,168.8005001
2021,Madinah,Hotels,313.0226498
2021,Tabuk,Apartments & other,131.1568859
2021,Tabuk,Hotels,484.8801271
2021,Jazan,Apartments & other,144.5737493
2021,Jazan,Hotels,276.6142138
2021,Hail,Apartments & other,107.0105899
2021,Hail,Hotels,580.6893438
2021,Aseer,Apartments & other,175.5637098
2021,Aseer,Hotels,364.9250178
2021,Makkah,Apartments & other,157.3303974
2021,Makkah,Hotels,409.2548451
2021,Najran,Apartments & other,87.02176898
2021,Najran,Hotels,180.9443718
2022,Eastern,Apartments & other,186.5900357
2022,Eastern,Hotels,421.4077435
2022,Albaha,Apartments & other,131.762255
2022,Albaha,Hotels,239.5522633
2022,Jouf,Apartments & other,121.5557993
2022,Jouf,Hotels,203.3377352
2022,Northern Borders,Apartments & other,119.3358523
2022,Northern Borders,Hotels,160.9054855
2022,Riyadh,Apartments & other,178.507568
2022,Riyadh,Hotels,680.7615837
2022,Alqassim,Apartments & other,124.4459763
2022,Alqassim,Hotels,359.2519695
2022,Madinah,Apartments & other,162.0870815
2022,Madinah,Hotels,372.2218056
2022,Tabuk,Apartments & other,129.2866769
2022,Tabuk,Hotels,338.7015521
2022,Jazan,Apartments & other,130.063915
2022,Jazan,Hotels,258.4499555
2022,Hail,Apartments & other,113.2149463
2022,Hail,Hotels,475.4223645
2022,Aseer,Apartments & other,151.3274784
2022,Aseer,Hotels,293.1292148
2022,Makkah,Apartments & other,161.579897
2022,Makkah,Hotels,526.2017758
2022,Najran,Apartments & other,80.69564751
2022,Najran,Hotels,160.7047991
2023,Eastern,Apartments & other,235.5298209
2023,Eastern,Hotels,412.4038804
2023,Albaha,Apartments & other,171.0048165
2023,Albaha,Hotels,261.9435879
2023,Jouf,Apartments & other,120.6371201
2023,Jouf,Hotels,181.5316059
2023,Northern Borders,Apartments & other,139.0548651
2023,Northern Borders,Hotels,208.9846529
2023,Riyadh,Apartments & other,179.2633382
2023,Riyadh,Hotels,809.6840022
2023,Alqassim,Apartments & other,123.8790252
2023,Alqassim,Hotels,434.1251205
2023,Madinah,Apartments & other,170.8341083
2023,Madinah,Hotels,456.1994242
2023,Tabuk,Apartments & other,135.7866666
2023,Tabuk,Hotels,458.7039215
2023,Jazan,Apartments & other,131.1511991
2023,Jazan,Hotels,283.9919957
2023,Hail,Apartments & other,124.0011353
2023,Hail,Hotels,604.581308
2023,Aseer,Apartments & other,147.2820593
2023,Aseer,Hotels,469.66074
2023,Makkah,Apartments & other,160.1975696
2023,Makkah,Hotels,548.1100869
2023,Najran,Apartments & other,83.54756048
2023,Najran,Hotels,170.2687909
2024,Eastern,Apartments & other,234.2149975
2024,Eastern,Hotels,417.8165427
2024,Albaha,Apartments & other,195.2666295
2024,Albaha,Hotels,359.1428354
2024,Jouf,Apartments & other,127.2141786
2024,Jouf,Hotels,262.3503734
2024,Northern Borders,Apartments & other,154.1907586
2024,Northern Borders,Hotels,187.2473014
2024,Riyadh,Apartments & other,218.5967544
2024,Riyadh,Hotels,925.8152524
2024,Alqassim,Apartments & other,144.1241497
2024,Alqassim,Hotels,434.3253952
2024,Madinah,Apartments & other,245.3399491
2024,Madinah,Hotels,467.9410791
2024,Tabuk,Apartments & other,141.3570557
2024,Tabuk,Hotels,532.4860824
2024,Jazan,Apartments & other,166.1701089
2024,Jazan,Hotels,298.4095045
2024,Hail,Apartments & other,164.5373669
2024,Hail,Hotels,378.4197701
2024,Aseer,Apartments & other,157.4613332
2024,Aseer,Hotels,339.1812387
2024,Makkah,Apartments & other,207.5693656
2024,Makkah,Hotels,420.9656551
2024,Najran,Apartments & other,93.37887305
2024,Najran,Hotels,200.1018623
